Name,Year,EstVol
Seeley 1,EstInt,1832.172693
Seeley 1,t_0,1234.867
Seeley 1,t_1,
Seeley 1,t_2,1057.235
Seeley 1,t_3,
Seeley 1,t_4,
Seeley 1,t_5,683.8557
Seeley 1,t_6,
Seeley 1,t_7,490
Seeley 1,t_8,762.7249
Seeley 1,t_9,258.7346
Seeley 1,t_10,
Dollar Ridge 1,EstInt,3245.77
Dollar Ridge 1,t_0,3018.552
Dollar Ridge 1,t_1,2621.100098
Dollar Ridge 1,t_2,1060
Dollar Ridge 1,t_3,1685.099976
Dollar Ridge 1,t_4,
Dollar Ridge 1,t_5,
Dollar Ridge 1,t_6,
Dollar Ridge 1,t_7,
Dollar Ridge 1,t_8,
Dollar Ridge 1,t_9,
Dollar Ridge 1,t_10,
Lake Fork 1,EstInt,12123.45
Lake Fork 1,t_0,10752.18
Lake Fork 1,t_1,11000
Lake Fork 1,t_2,8468.099609
Lake Fork 1,t_3,4569.899902
Lake Fork 1,t_4,
Lake Fork 1,t_5,
Lake Fork 1,t_6,
Lake Fork 1,t_7,
Lake Fork 1,t_8,
Lake Fork 1,t_9,
Lake Fork 1,t_10,
Dollar Ridge 4,EstInt,2407.800049
Dollar Ridge 4,t_0,1532.400024
Dollar Ridge 4,t_1,1319.699951
Dollar Ridge 4,t_2,650
Dollar Ridge 4,t_3,1101.699951
Dollar Ridge 4,t_4,
Dollar Ridge 4,t_5,
Dollar Ridge 4,t_6,
Dollar Ridge 4,t_7,
Dollar Ridge 4,t_8,
Dollar Ridge 4,t_9,
Dollar Ridge 4,t_10,
Dollar Ridge 5,EstInt,5559.399902
Dollar Ridge 5,t_0,4924.200195
Dollar Ridge 5,t_1,4735.700195
Dollar Ridge 5,t_2,3000
Dollar Ridge 5,t_3,3751.199951
Dollar Ridge 5,t_4,
Dollar Ridge 5,t_5,
Dollar Ridge 5,t_6,
Dollar Ridge 5,t_7,
Dollar Ridge 5,t_8,
Dollar Ridge 5,t_9,
Dollar Ridge 5,t_10,
